Tahun,Kabupaten,Desa,Anggaran,Penyaluran
2020,Majalengka,Balida,1264618000,1264618000
2020,Majalengka,Lemahsugih,1264582000,1264582000
2020,Karawang,Mekarasih,1264567000,1264567000
2020,Cianjur,Puncakwangi,1264515000,1264515000
2020,Cianjur,Kertaraharja,1264509000,1264509000
2020,Indramayu,Anjatan Baru,1264480000,1264480000
2020,Tasikmalaya,Sarimukti,1264469000,1264469000
2020,Cianjur,Cijedil,1264426000,1264426000
2020,Indramayu,Telukagung,1264403000,1264403000
2021,Bogor,Antajaya,1264380000,1264380000
2021,Indramayu,Pekandangan,1264374000,1264374000
2020,Cirebon,Pegagan Kidul,1264345000,1264345000
2021,Bekasi,Sukarapih,1264331000,1264331000
2019,Indramayu,Mangunjaya,1264323000,1264323000
2019,Garut,Sindangsari,1264100000,1264100000
2020,Bandung,Sukamanah,1264094000,1264094000
2019,Tasikmalaya,Sukasari,1264017000,1264017000
2019,Cirebon,Suranenggala,1263991000,1263991000
2021,Tasikmalaya,Batusumur,1263981000,1263981000
2020,Karawang,Sabajaya,1263866000,1263866000
2021,Bandung,Jagabaya,1263777000,1263777000
2021,Bogor,Cibedug,1263748000,1263748000
2021,Karawang,Sumurlaban,1263694000,1263694000
2021,Cianjur,Cinerang,1263689000,1263689000
2021,Majalengka,Buninagara,1263686000,1263686000
2018,Majalengka,Malausma,1263662536,1263662536
2021,Garut,Sukamaju,1263511000,1263511000
2021,Bogor,Babakan,1263343000,1263343000
2020,Tasikmalaya,Giriwangi,1263249000,1263249000
2018,Bogor,Banyuresmi,1263219467,1263219467
2021,Indramayu,Cadang Pinggan,998367000,998367000
2019,Subang,Sukamandijaya,1263098000,1263098000
2020,Bogor,Cibeureum,1263022000,1263021883
2018,Cianjur,Neglasari,1262978000,1262978000
2020,Indramayu,Cadang Pinggan,982960000,982960000
2019,Bandung,Waluya,1262940000,1515528000
2021,Bandung Barat,Cimerang,1262921000,1262921000
2020,Bandung Barat,Margajaya,1262727000,1262727000
2019,Indramayu,Cadang Pinggan,950839000,950839000
2021,Bekasi,Cibening,1262555000,1262555000
2019,Bekasi,Karangmulya,1262500000,1262500000
2019,Majalengka,Sindanghurip,1262268000,1262268000
2018,Indramayu,Cadang Pinggan,809186000,809186000
2021,Garut,Sinarjaya,1262063000,1262063000
2021,Sukabumi,Lengkong,1262056000,1262056000
2021,Bandung,Serangmekar,1262046000,1262046000
2021,Tasikmalaya,Setiawaras,1262004000,1262004000
2021,Cirebon,Rawaurip,1261888000,1261888000
2020,Majalengka,Babakansari,1261886000,1261886000
2020,Indramayu,Tenajar Lor,1261874000,1261874000
2020,Cianjur,Mekarsari,1261809000,1261809000
2021,Garut,Ciburuy,1261806000,1261806000
2020,Tasikmalaya,Cikapinis,1261710000,1261710000
2020,Bogor,Cibodas,1261706000,1261706000
2020,Cirebon,Guwa Kidul,1261695000,1261695000
2020,Tasikmalaya,Mandalajaya,1261666000,1261666000
2020,Tasikmalaya,Banjarwaringin,1261641000,1261641000
2021,Majalengka,Baribis,1261631000,1261631000
2019,Bandung Barat,Bojonghaleuang,1261614000,1261614000
2019,Garut,Cihaurkuning,1261600000,1261600000
2021,Bandung Barat,Margaluyu,1261490000,1261490000
2019,Cianjur,Girimukti,1261400000,1261400000
2018,Bandung Barat,Jatimekar,1261382100,1261382100
2021,Indramayu,Kaplongan,1261240000,1261240000
2020,Garut,Sagara,1261164000,1261164000
2020,Tasikmalaya,Nangtang,1261161000,1261161000
2020,Garut,Sukamulya,1261055000,1261055000
2020,Garut,Cigaronggong,1260995000,1260995000
2020,Majalengka,Palasah,1260991000,1260991000
2021,Majalengka,Kasokandel,1260798000,1260798000
2020,Sukabumi,Cibunarjaya,1260782000,1260782000
2021,Garut,Bojong,1260741000,1260741000
2021,Bogor,Dukuh,1260676000,1260676000
2020,Majalengka,Wanahayu,1260653000,1260653000
2019,Indramayu,Salamdarma,1260628000,1260628000
2019,Bandung,Padaulun,1260558000,1260558000
2020,Cirebon,Bayalangu Lor,1260507000,1260507000
2021,Karawang,Kutajaya,1260502000,1260502000
2019,Bandung,Pangalengan,1260449000,1260449000
2021,Karawang,Cadas Kertajaya,909181000,909181000
2018,Bekasi,Sukajadi,1260240000,1260240000
2020,Bandung,Panyadap,1260231000,1260231000
2020,Cianjur,Mekarjaya,1260097000,1260097000
2019,Bekasi,Jatireja,1260000000,1260000000
2020,Bekasi,Sukaringin,1259906000,1259906000
2019,Cianjur,Jamali,1259900000,1259900000
2021,Subang,Pakuhaji,1259865000,1259865000
2021,Bandung,Cangkuang Kulon,1259853000,1259853000
2020,Garut,Margaluyu,1259848000,1259848000
2019,Garut,Mekarjaya,1259800000,1259800000
2020,Bandung,Sukawening,1259793000,1259793000
2020,Garut,Cibiuk Kidul,1259763000,1259763000
2018,Majalengka,Banyusari,1259755924,1259755924
2020,Karawang,Cadas Kertajaya,907626000,907626000
2020,Indramayu,Arahan Kidul,1259736000,1259736000
2021,Bandung Barat,Sariwangi,1259696000,1259696000
2020,Ciamis,Panjalu,1259687000,1259687000
2020,Bogor,Ciadeg,1259675000,1259675000
2020,Garut,Karangsari,1259654000,1259654000
2019,Bandung,Mekarlaksana,1259637000,1511564400
2019,Bandung Barat,Cimerang,1259399000,1259399000
2019,Bandung,Sukamulya,1259241000,1511089200
2021,Indramayu,Mundu,1259229000,1259229000
2019,Bogor,Koleang,1259193465,1259193465
2018,Indramayu,Cikawung,1258940000,1258940000
2020,Sukabumi,Nangkakoneng,1258907000,1258907000
2020,Cianjur,Sindanglaya,1258839000,1258839000
2021,Cianjur,Cipendawa,1258774000,1258774000
2019,Indramayu,Sukajati,1258763000,1258763000
2020,Garut,Bojong,1258757000,1258757000
2020,Tasikmalaya,Kujang,1258680000,1258680000
2018,Garut,Wangunjaya,1258588000,1258588000
2021,Cirebon,Kudukeras,1258570000,1258570000
2021,Tasikmalaya,Rajadatu,1258567000,1258567000
2021,Tasikmalaya,Sirnajaya,1258522000,1258522000
2019,Bogor,Tapos I,1258366195,1258366195
2020,Tasikmalaya,Cikuya,1258306000,1258306000
2020,Garut,Cisarua,1258278000,1258278000
2020,Karawang,Jatiragas,1258244000,1258244000
2019,Garut,Bungbulang,1258200000,1258200000
2019,Karawang,Cadas Kertajaya,887754000,887754000
2021,Garut,Jayabakti,1258022000,1258022000
2021,Bogor,Kabasiran,1257983000,1257983000
2020,Tasikmalaya,Tanjungkarang,1257932000,1257932000
2020,Tasikmalaya,Margajaya,1257849000,1257849000
2020,Sumedang,Tegalmanggung,1257846000,1257846000
2021,Kuningan,Subang,1257825000,1257825000
2021,Indramayu,Tinumpuk,1257814000,1257814000
2019,Garut,Ciwangi,1257700000,1257700000
2019,Garut,Sukarame,1257700000,1257700000
2020,Ciamis,Jelat,1257630000,1257630000
2021,Bandung,Margamekar,1257509000,1257509000
2020,Sukabumi,Cijambe,1257508000,1257508000
2019,Majalengka,Bangbayang,1257497000,1257497000
2021,Garut,Neglasari,1257494000,1257494000
2018,Garut,Sukalaksana,1257376000,1257376000
2021,Garut,Kertajaya,1257312000,1257312000
2019,Bandung Barat,Gudangkahuripan,1257258000,1257258000
2018,Karawang,Cadas Kertajaya,762807100,762807100
2021,Garut,Salamnunggal,1257208000,1257208000
2019,Tasikmalaya,Cintabodas,1257186000,1257186000
2021,Bekasi,Cicau,1257165000,1257165000
2021,Garut,Sukawangi,1257151000,1257151000
2019,Majalengka,Kancana,1257002000,1257002000
2020,Indramayu,Kalensari,1256995000,1256995000
2021,Garut,Sukarame,1256947000,1256947000
2020,Garut,Pangrumasan,1256896000,1256896000
2019,Cianjur,Karangjaya,1256800000,1256800000
2018,Tasikmalaya,Neglasari,1256711500,1256711500
2019,Cianjur,Murnisari,1256700000,1256700000
2020,Cianjur,Sukamulya,1256687000,1256687000
2020,Bogor,Tugu Utara,1256669000,1256669000
2019,Indramayu,Lemahayu,1256641000,1256641000
2020,Sukabumi,Pulosari,1256602000,1256602000
2019,Bogor,Cadasngampar,1125701111,1125701111
2018,Bandung Barat,Kidangpananjung,1256570000,1256570000
2019,Tasikmalaya,Mekarjaya,1256529000,1256529000
2019,Cianjur,Mulyasari,1256500000,1256500000
2021,Bekasi,Sukawangi,1256388000,1255999400
2021,Garut,Cihaurkuning,1256251000,1256251000
2021,Bogor,Cadasngampar,1001896000,1001896000
2020,Tasikmalaya,Batusumur,1256184000,1256184000
2020,Bekasi,Karangindah,1256170000,1256170000
2019,Cirebon,Pabedilan Kaler,1256132000,1256132000
2020,Bogor,Cadasngampar,960394000,960393989
2019,Garut,Banjarsari,1256100000,1256100000
2021,Bogor,Sukaresmi,1256084000,1578517600
2019,Purwakarta,Pasirmunjul,1256065800,1256065800
2020,Kuningan,Ciputat,1256053000,1256053000
2020,Majalengka,Mirat,1255925000,1255925000
2021,Karawang,Mekarjaya,1255904000,1255904000
2020,Garut,Majasari,1255902000,1255902000
2019,Karawang,Ciwaringin,1255832000,1255832000
2019,Ciamis,Jelat,1255803000,1255803000
2021,Bandung,Cinunuk,1255774000,1255774000
2020,Garut,Sukawangi,1255707000,1255707000
2019,Cianjur,Girijaya,1255600000,1255600000
2019,Garut,Mekarsari,1255600000,1255600000
2019,Garut,Cisarua,1255400000,1255400000
2020,Cianjur,Sukaresmi,1255388000,1255388000
2018,Bogor,Cadasngampar,780048430,780048430
2019,Cirebon,Sibubut,1255357000,1255357000
2019,Cianjur,Margasari,1255300000,1255300000
2019,Cianjur,Simpang,1255300000,1255300000
2020,Tasikmalaya,Calincing,1060474000,1060474000
2019,Indramayu,Wanguk,1255263000,1255263000
2020,Garut,Cintanagara,1255248000,1255248000
2021,Bogor,Pingku,1255222000,1255222000
2021,Majalengka,Sadomas,1255214000,1255214000
2019,Tasikmalaya,Calincing,874429000,874429000
2020,Purwakarta,Cibodas,1255025000,1255025000
2019,Karawang,Karyabhakti,1254983000,1254983000
2020,Karawang,Karyabhakti,1254983000,1254983000
2019,Garut,Cintanagara,1254900000,1254900000
2019,Purwakarta,Cibingbin,1254853100,1254853100
2018,Majalengka,Werasari,1254811416,1254811416
2021,Bogor,Pondok Udik,1254713000,1254713000
2021,Indramayu,Santing,1254694000,1254694000
2021,Garut,Karangwangi,1254651000,1254651000
2020,Garut,Sukamenak,1254573000,1254573000
2021,Garut,Paas,1254556000,1254556000
2019,Tasikmalaya,Tobongjaya,1254478000,1254478000
2021,Cianjur,Cibodas,1254464000,1254464000
2019,Majalengka,Andir,1254446000,1254446000
2021,Tasikmalaya,Calincing,863962000,863962000
2021,Karawang,Sukamulya,1254353000,1254353000
2021,Bogor,Batujajar,1254333000,1254333000
2020,Garut,Sukatani,1254315000,1254315000
2020,Cianjur,Ramasari,1254150000,1254150000
2018,Garut,Cintanagara,1254118000,1254118000
2019,Cianjur,Bobojong,1254100000,1254100000
2020,Karawang,Kertaraharja,1254065000,1254065000
2019,Indramayu,Mekarsari,1254020000,1254020000
2020,Garut,Cintarasa,1253941000,1253941000
2020,Majalengka,Leuwikujang,1253922000,1253922000
2020,Indramayu,Jumbleng,1253890000,1253890000
2019,Garut,Ciela,1253800000,1253800000
2020,Garut,Sukamukti,1253747000,1253747000
2019,Bogor,Cileungsi,1253679040,1253679040
2021,Cianjur,Bungbangsari,1253608000,1253608000
2021,Majalengka,Sadawangi,1253509000,1253509000
2020,Garut,Girimakmur,1253456000,1253456000
2019,Karawang,Karangtanjung,1253322000,1253322000
2018,Tasikmalaya,Calincing,763282000,763282000
2020,Cirebon,Mulyasari,1253226000,1253226000
2020,Indramayu,Sukamelang,1253180000,1253180000
2020,Bogor,Gunung Mulya,1253174000,1253174000
2020,Garut,Simpen Kaler,1252970000,1252970000
2021,Tasikmalaya,Wangunsari,1252718000,1252718000
2019,Indramayu,Majakerta,1252650000,1252650000
2021,Garut,Mekarwangi,1252609000,1252609000
2019,Indramayu,Juntiweden,1252563000,1252563000
2021,Cirebon,Bungko Lor,1252430000,1252430000
2020,Indramayu,Sumberjaya,1252413000,1252413000
2018,Bekasi,Sukabudi,1252340000,1252340000
2021,Karawang,Pisangsambo,1252119000,1252119000
2020,Cirebon,Gebang Kulon,1252105000,1252105000
2020,Majalengka,Sukaraja Wetan,1252102000,1252102000
2020,Indramayu,Tinumpuk,1252082000,1252082000
2018,Bandung Barat,Tamanjaya,1252059300,1252059300
2020,Cianjur,Peuteuycondong,1252018000,1252018000
2018,Bandung Barat,Campaka Mekar,1219072500,1219072500
2020,Cianjur,Wargasari,1251903000,1251903000
2021,Bandung,Alamendah,1251885000,1251885000
2021,Tasikmalaya,Kertanegla,1251828000,1251828000
2020,Indramayu,Haurgeulis,1251727000,1251727000
2019,Majalengka,Genteng,1251703000,1251703000
2021,Bandung,Panyadap,1251678000,1251678000
2019,Karawang,Sukatani,1251675000,1251675000
2021,Subang,Kalijati Barat,1251613000,1251613000
2019,Garut,Jangkurang,1251600000,1251600000
2019,Karawang,Wargasetra,1251482000,1251482000
2021,Banjar,Mekarharja,1251432000,1251432000
2020,Garut,Tanjung Karya,1251422000,1251422000
2019,Cianjur,Ciranjang,1251400000,1251400000
2020,Garut,Girimukti,1251379000,1251379000
2019,Bandung,Cananggela,1178260000,1413912000
2021,Garut,Najaten,1251342000,1251342000
2019,Cianjur,Talaga,1251300000,1251300000
2020,Bogor,Palasari,1251280000,1251280000
2020,Tasikmalaya,Girimukti,1251255000,1251255000
2021,Bogor,Cicadas,1251083000,1251083000
2021,Ciamis,Sukanagara,1251029000,1251029000
2021,Cirebon,Kedungbunder,1251029000,1251029000
2019,Tasikmalaya,Sarimanggu,1250992000,1250992000
2020,Bekasi,Lenggahjaya,1250990000,1250990000
2021,Cianjur,Kertaraharja,1250977000,1250977000
2021,Cianjur,Sukamulya,1250901000,1250901000
2021,Cirebon,Karangsari,1250848000,1250848000
2020,Garut,Campaka,1250848000,1250848000
2020,Cirebon,Waled Kota,1250690000,1250690000
2021,Bandung,Sukamaju,1250667000,1250667000
2018,Garut,Cigedug,1250664000,1250664000
2021,Majalengka,Cintaasih,1250633000,1250633000
2021,Cirebon,Karangmekar,1250625000,1250625000
2021,Bekasi,Muktijaya,1250406000,1250406000
2020,Cianjur,Neglasari,1250359000,1250359000
2020,Bogor,Weninggalih,1250245000,1250245000
2019,Tasikmalaya,Sukapada,1250166000,1250166000
2018,Bandung Barat,Cihanjuang,1250157600,1250157600
2021,Tasikmalaya,Wandasari,1250139000,1250139000
2020,Garut,Jayamukti,1250125000,1250125000
2019,Karawang,Tanjungpakis,1250102000,1250102000
2021,Indramayu,Sendang,1250044000,1250044000
2019,Bekasi,Jayalaksana,1250000000,1250000000
2020,Bandung,Cananggela,1146535000,1146535000
2021,Bandung,Cananggela,1083621000,1083621000
2021,Bandung Barat,Sukamulya,1249986000,1249986000
2021,Garut,Mekarjaya,1249935000,1249935000
2021,Sukabumi,Cijengkol,1249915000,1249915000
2020,Majalengka,Kondangmekar,1249693000,1249693000
2021,Indramayu,Sumberjaya,1249635000,1249635000
2021,Karawang,Mekarpohaci,1249571000,1249571000
2021,Bekasi,Cibatu,1249479000,1249479000
2020,Tasikmalaya,Ciawi,1249472000,1249472000
2019,Tasikmalaya,Padawaras,1249336000,1249336000
2021,Majalengka,Sukadana,1249280000,1249280000
2019,Indramayu,Karangsong,1249276000,1249276000
2020,Cianjur,Ciandam,1249212000,1249212000
2019,Bogor,Cilember,1249210084,1249210084
2020,Tasikmalaya,Guranteng,1249113000,1249113000
2019,Karawang,Makmurjaya,1248999000,1248999000
2021,Tasikmalaya,Sundawenang,1248989000,1248989000
2018,Bandung,Cananggela,965853000,965853000
2021,Bekasi,Sukadanau,1248837000,1248837000
2019,Garut,Tanjung Karya,1248800000,1248800000
2020,Bogor,Kalong I,1248729000,1248729000
2021,Indramayu,Tugu,1248705000,1248705000
2021,Cirebon,Cankring,1054328000,1054328000
2020,Cirebon,Cankring,985326000,985326000
2020,Cianjur,Sindangresmi,1248628000,1248628000
2020,Banjar,Neglasari,1248301000,1248301000
2021,Cianjur,Cimaskara,1248294000,1248294000
2019,Cirebon,Banjarwangunan,1248282000,1248282000
2020,Purwakarta,Sukatani,1248236000,1248236000
2020,Garut,Kertajaya,1248154000,1248154000
2021,Garut,Cihikeu,1248131000,1248131000
2021,Pangandaran,Sindangsari,1248104000,1248104000
2019,Bandung Barat,Budiharja,1247968000,1247968000
2021,Cianjur,Naringgul,1247967000,1247967000
2020,Cianjur,Cibadak,1247733000,1247733000
2019,Cirebon,Cankring,983076000,983076000
2018,Cirebon,Cankring,873621000,873621000
2020,Ciamis,Nasol,1247677000,1247677000
2019,Garut,Mekarsari,1247600000,1247600000
2019,Indramayu,Tempelkulon,1247579000,1247579000
2021,Garut,Rancasalak,1247455000,1247455000
2019,Cirebon,Sindang Kempeng,1247414000,1247414000
2020,Cirebon,Sindang Kempeng,1247414000,1247414000
2020,Bekasi,Satriamekar,1247354000,1247354000
2019,Bogor,Cimulang,1247312950,1247312950
2020,Karawang,Cengkong,1247305000,1247305000
2019,Cirebon,Gintung Lor,1247148000,1247148000
2018,Bandung,Nagrak,1247127000,1247127000
2020,Cirebon,Sarabau,1247042000,1247042000
2019,Kuningan,Cibingbin,1247008000,1247008000
2020,Majalengka,Maja Selatan,1246984000,1246984000
2020,Garut,Parakan,1246973000,1246973000
2020,Garut,Jayamekar,1246825000,1246825000
2019,Garut,Mekarsari,1246800000,1246800000
2019,Purwakarta,Cibodas,1246755900,1246755900
2021,Cianjur,Mentengsari,1246747000,1246747000
2020,Cianjur,Sukasari,1246712000,1246712000
2021,Cirebon,Karangwareng,1246619000,1246619000
2019,Cianjur,Puncakbaru,1246600000,1246600000
2021,Kuningan,Geresik,1246535000,1246535000
2020,Bogor,Barengkok,1246448000,1246448000
2021,Cirebon,Pengarengan,1246372000,1246372000
2021,Majalengka,Wanahayu,1246141000,1246141000
2019,Kuningan,Jatimulya,1246136000,1246136000
2021,Subang,Capunagara,1473198000,1473198000
2021,Bandung,Ciaro,1246019000,1246019000
2021,Garut,Depok,1246002000,1246002000
2019,Majalengka,Lampuyang,1245974000,1245974000
2021,Cianjur,Margasari,1245952000,1245952000
2019,Tasikmalaya,Puteran,1245832000,1245832000
2021,Bandung,Bojongmalaka,1245826000,1245826000
2020,Cirebon,Pamengkang,1245712000,1245712000
2020,Bekasi,Sukaindah,1245623000,1245623000
2021,Karawang,Kiara,1245605000,1245605000
2020,Cirebon,Melakasari,1245462000,1245462000
2019,Bandung Barat,Nyenang,1245442000,1245442000
2019,Indramayu,Drunten Kulon,1245431000,1245431000
2019,Cianjur,Bojongkaso,1245400000,1245400000
2021,Garut,Purbayani,1245342000,1245342000
2019,Subang,Capunagara,1444896000,1444896000
2019,Cianjur,Nanggalamekar,1245200000,1245200000
2020,Kuningan,Kalimanggis Wetan,1245187000,1245187000
2020,Majalengka,Jatiwangi,1245162000,1245162000
2020,Garut,Ciburuy,1245142000,1245142000
2018,Bogor,Hambaro,1245049177,1245049177
2020,Bandung Barat,Pasirlangu,1245016000,1245016000
2020,Subang,Capunagara,1306091000,1306091000
2019,Indramayu,Singaraja,1244839000,1244839000
2018,Cianjur,Selagedang,1244821000,1244821000
2019,Garut,Cigadog,1244771000,1244771000
2020,Garut,Cigadog,1244771000,1244771000
2020,Indramayu,Tambi Lor,1244732000,1244732000
2021,Bogor,Tajur,1244463000,1244463000
2018,Indramayu,Sukahaji,1244455000,1244455000
2021,Garut,Karangsari,1244350000,1244350000
2019,Majalengka,Margajaya,1244329000,1244329000
2021,Garut,Sirnabakti,1244227000,1244227000
2019,Garut,Sukawangi,1244200000,1244200000
2018,Subang,Capunagara,1134002800,1134002800
2021,Garut,Banjarwangi,1244173000,1244173000
2020,Majalengka,Girimulya,1244140000,1244140000
2019,Kuningan,Nanggela,1244104000,1244104000
2020,Cianjur,Sukamaju,1244103000,1244103000
2021,Karawang,Baturaden,1244042000,1244042000
2019,Tasikmalaya,Sindangsari,1243744000,1243744000
2021,Sukabumi,Cianaga,1243726000,1243726000
2021,Garut,Bungbulang,1243634000,1243634000
2021,Garut,Margamulya,1243464000,1243464000
2020,Garut,Dawungsari,1243437000,1243437000
2021,Cirebon,Gebang Kulon,1243430000,1243430000
2018,Cianjur,Wanasari,1243407000,1243407000
2019,Cirebon,Sumber Kidul,1243391000,1243391000
2021,Sukabumi,Caringinnunggal,1116867000,871146000
2019,Cirebon,Jagapura Lor,1243335000,1243335000
2021,Majalengka,Pasiripis,1243319000,1243319000
2021,Karawang,Pucung,1243301000,1243301000
2021,Karawang,Tanahbaru,1243293000,1243293000
2019,Karawang,Pusakajaya Selatan,1243265000,1243265000
2021,Tasikmalaya,Sukamaju,1243244000,1243244000
2019,Cirebon,Walahar,1243174000,1243174000
2021,Cianjur,Cibadak,1243107000,1243107000
2021,Bogor,Sadeng,1243099000,1243099000
2018,Bekasi,Sukamulya,1243090000,1243090000
2020,Bekasi,Cikedokan,1242981000,1242981000
2020,Garut,Sindangratu,1242966000,1242966000
2019,Cirebon,Girinata,1242924000,1242924000
2020,Bekasi,Setia Asih,1242814000,1242814000
2020,Tasikmalaya,Karangnunggal,1242791000,1242791000
2020,Cirebon,Bungko Lor,1242654000,1242654000
2021,Bogor,Nagrak,1242627000,1242627000
2019,Cianjur,Kemang,1242300000,1242300000
2020,Bogor,Tenjo,1242247000,1242247000
2021,Ciamis,Sindanglaya,1242168000,1242168000
2020,Cianjur,Jayapura,1242158000,1242158000
2021,Sukabumi,Caringinnunggal,871146000,871146000
2019,Karawang,Karangjaya,1241921000,1241921000
2021,Cianjur,Gasol,1241917000,1241917000
2018,Karawang,Jayakerta,1241911900,1241911900
2021,Garut,Sindangsari,1241865000,1241865000
2018,Majalengka,Borogojol,1241576898,1241576898
2020,Tasikmalaya,Kertarahayu,1241498000,1241498000
2018,Bandung Barat,Margalaksana,1241422300,1241422300
2021,Bogor,Sukarasa,1241320000,1241320000
2021,Tasikmalaya,Malatisuka,1241296000,1241296000
2021,Majalengka,Karangasem,1241250000,1241250000
2020,Tasikmalaya,Linggajati,1241177000,1241177000
2019,Bogor,Ciderum,1241155260,1241155260
2021,Tasikmalaya,Gunajaya,1241150000,1241150000
2020,Ciamis,Ciomas,1241126000,1241126000
2018,Bekasi,Sirnajaya,1241100000,1241100000
2021,Sumedang,Sindanggalih,1241091000,1241091000
2019,Sukabumi,Caringinnunggal,835101000,835101000
2018,Karawang,Kutanegara,1241058700,1241058700
2019,Bandung,Banjaran Wetan,1241005000,1241005000
2018,Cianjur,Karangwangi,1240968000,1240968000
2020,Cianjur,Mekarwangi,1240953000,1240953000
2020,Majalengka,Cikaracak,1240927000,1240927000
2020,Garut,Cigintung,1240756000,1240756000
2020,Ciamis,Janggala,1240639000,1240639000
2021,Indramayu,Manggungan,1240558000,1240558000
2019,Cianjur,Kanoman,1240500000,1240500000
2021,Garut,Cisitu,1240475000,1240475000
2019,Majalengka,Sukaperna,1240446000,1240446000
2021,Cirebon,Ambit,1240421000,1240421000
2018,Bandung Barat,Karangsari,1240191500,1240191500
2021,Tasikmalaya,Cukangjayaguna,1240182000,1240182000
2020,Sukabumi,Caringinnunggal,790293000,790293000
2021,Sukabumi,Cidadap,1240168000,1240168000
2021,Garut,Samida,1240154000,1240154000
2019,Garut,Barusuda,1240100000,1240100000
2019,Tasikmalaya,Santanamekar,1240044000,1240044000
2019,Majalengka,Maja Utara,1240040000,1240040000
2019,Bogor,Bantarjaya,1240029392,1240029392
2019,Bekasi,Sukarapih,1240000000,1240000000
2018,Bandung,Cihawuk,1239936000,1239936000
2021,Bandung,Dukuh,1239896000,1239896000
2018,Sukabumi,Caringinnunggal,730681000,730681000
2019,Garut,Cintarasa,1239700000,1239700000
2019,Bandung Barat,Cipeundeuy,1239664000,1239664000
2019,Tasikmalaya,Wandasari,1239631000,1239631000
2019,Majalengka,Ampel,1239573000,1239573000
2018,Bandung Barat,Bojong,1239525000,1239525000
2019,Garut,Karangsari,1239500000,1239500000
2021,Indramayu,Jatisura,1239497000,1239497000
2020,Indramayu,Singakerta,1239469000,1239469000
2020,Bekasi,Taman Rahayu,1239358000,1239358000
2021,Cirebon,Bobos,1239209000,1239209000
2019,Cianjur,Batulawang,1239200000,1239200000
2019,Cianjur,Wangunjaya,1239200000,1239200000
2019,Cianjur,Sukaraharja,1239100000,1239100000
2019,Garut,Cigintung,1239100000,1239100000
2019,Majalengka,Gunungsari,1239099000,1239099000
2021,Tasikmalaya,Cinunjang,1239055000,1239055000
2021,Garut,Sukawangi,1239052000,1239052000
2020,Indramayu,Patrol Baru,1239039000,1239039000
2019,Bekasi,Karangindah,1239000000,1239000000
2021,Bogor,Ciapaus,1027597000,1027597000
2020,Garut,Jatisari,1238902000,1238902000
2020,Bogor,Pamijahan,1238883000,1238724302
2020,Garut,Mekarjaya,1238881000,1238881000
2019,Garut,Parakan,1238800000,1238800000
2020,Cianjur,Hegarmanah,1238766000,1238766000
2020,Cianjur,Padasuka,1238723000,1238723000
2019,Garut,Sukahati,1238700000,1238700000
2020,Garut,Tambakbaya,1238699000,1238699000
2020,Karawang,Tamansari,1238553000,1238553000
2020,Majalengka,Sukadana,1238535000,1238535000
2021,Cirebon,Cikulak Kidul,1238407000,1238407000
2019,Tasikmalaya,Gunungsari,1238283000,1238283000
2021,Garut,Campaka,1238274000,1238274000
2020,Garut,Samida,1238202000,1238202000
2019,Garut,Cibiuk Kidul,1238200000,1238200000
2021,Tasikmalaya,Cogreg,1238156000,1238156000
2020,Bogor,Sukahati,1238112000,1238111897
2020,Majalengka,Jatisura,1238040000,1238040000
2019,Bandung,Mekarsari,1238023000,1485627600
2020,Bogor,Ciapaus,895935000,895935000
2018,Bogor,Cileuksa,1237969842,1237969842
2018,Bekasi,Jayabakti,1237890000,1237890000
2020,Garut,Sukamerang,1237851000,1237851000
2019,Karawang,Tegalsari,1237811000,1237811000
2019,Cianjur,Ciwalen,1237700000,1237700000
2019,Cianjur,Pasirbaru,1237700000,1237700000
2021,Majalengka,Paniis,1237678000,1237678000
2021,Garut,Kutanagara,1237568000,1237568000
2019,Kuningan,Cipakem,1237500000,1237500000
2019,Majalengka,Mekarraharja,1237371000,1237371000
2019,Indramayu,Sukadana,1237305000,1237305000
2019,Bogor,Ciapaus,866939018,866939018
2020,Tasikmalaya,Bojongasih,1237247000,1237247000
2021,Majalengka,Cikaracak,1237198000,1237198000
2021,Sukabumi,Cibatu,1237126000,1237126000
2021,Garut,Linggarjati,1237101000,1237101000
2019,Ciamis,Pasirnagara,1237026000,1237026000
2020,Garut,Tanjungjaya,1237023000,1237023000
2019,Cianjur,Sirnagalih,1237000000,1237000000
2019,Tasikmalaya,Padakembang,1236986000,1236986000
2020,Garut,Saribakti,1236823000,1236823000
2020,Tasikmalaya,Bojonggaok,1236750000,1236750000
2019,Karawang,Kertasari,1236658000,1966090400
2018,Bogor,Ciapaus,777116058,777116058
2020,Ciamis,Mekarmulya,1236577000,1236577000
2019,Majalengka,Sadawangi,1236554000,1236554000
2020,Bogor,Ciaruteun Ilir,1535007000,1535006965
2020,Indramayu,Tenajar Kidul,1236452000,1236452000
2019,Karawang,Kertarahayu,1236451000,1236451000
2021,Garut,Pasirwangi,1236411000,1236411000
2021,Cianjur,Cikanyere,1236405000,1236405000
2019,Majalengka,Buninagara,1236392000,1236392000
2021,Bogor,Cijujung,1236388000,1236388000
2021,Indramayu,Sukasari,1236323000,1236323000
2019,Banjar,Sinartanjung,1236273000,1483527600
2019,Bogor,Ciaruteun Ilir,1462513794,1462513794
2021,Tasikmalaya,Singasari,1236217000,1236217000
2019,Bandung,Rancatungku,1236177000,1236177000
2021,Sukabumi,Cibodas,1236168000,1236168000
2021,Bandung Barat,Ngamprah,1236102000,1236102000
2021,Bandung,Sukamukti,1236096000,1236096000
