Tahun,Kabupaten,Desa,Anggaran,Penyaluran
2021,Bandung Barat,Ciptaharja,1963956000,1963956000
2021,Bandung,Nagrak,1961156000,1961156000
2021,Bogor,Sukaharja,1960373000,1960373000
2019,Bekasi,Karangmukti,1960000000,1960000000
2021,Tasikmalaya,Ciheras,1956573000,1956573000
2020,Indramayu,Gantar,1954330000,1954330000
2020,Bogor,Tangkil,1950835000,1950835000
2019,Bekasi,Karangharja,1950000000,1950000000
2020,Bogor,Cintamanik,1949494000,1949493999
2020,Indramayu,Pabeanudik,1949272000,1949272000
2020,Bogor,Purasari,1948027000,1948027000
2021,Bekasi,Karangharja,1946798000,1946798000
2021,Bekasi,Sukaraya,1946391000,1946391000
2020,Bogor,Sukaharja,1946222000,1946176660
2020,Bandung Barat,Cilame,1945810000,1945810000
2020,Banjar,Rejasari,1945222000,1945222000
2020,Bandung Barat,Sukaresmi,1941128000,1941128000
2021,Cianjur,Sukanagalih,1933696000,1933696000
2019,Bekasi,Pantaibakti,1930000000,1930000000
2020,Bandung,Margamukti,1929171000,1929171000
2020,Bandung Barat,Sirnajaya,1929048000,1929048000
2019,Karawang,Medangasem,1924300000,1924300000
2020,Karawang,Medangasem,1924300000,1924300000
2021,Bandung Barat,Pangauban,1921504000,1921503900
2021,Cirebon,Nanggela,1916983000,1916983000
2021,Bandung Barat,Cihampelas,1916743000,1916743000
2021,Bandung,Lamajang,1913528000,1913528000
2021,Indramayu,Dadap,1911861000,1911861000
2019,Bekasi,Banjarsari,1910000000,2292000000
2020,Bandung Barat,Cintaasih,1908767000,1908767000
2019,Majalengka,Rawa,1907514000,1907514000
2020,Bogor,Jugalajaya,1905869000,1905866475
2021,Bogor,Sadengkolot,1905216000,1905216000
2020,Bekasi,Lenggahsari,1904946000,1904946000
2019,Bogor,Rabak,1903913839,1903913839
2021,Bogor,Cibunian,1901590000,1901590000
2020,Bekasi,Bantarsari,1901463000,1901463000
2018,Bekasi,Babelan Kota,1900260000,1900260000
2021,Bandung Barat,Jayamekar,1899385000,1899385000
2020,Bekasi,Sriamur,1898680000,1898680000
2021,Cirebon,Ambulu,1897266000,1897266000
2020,Bogor,Cipicung,1894034000,1892962561
2018,Bogor,Sukamaju,1893754015,1893754015
2019,Indramayu,Jatimunggul,1892829000,1892829000
2020,Bandung Barat,Baranangsiang,1890975000,1890975000
2020,Bogor,Pancawati,1890298000,1890289704
2020,Bandung Barat,Cisomang Barat,1890004000,1890004000
2021,Indramayu,Pabeanudik,1887851000,1887851000
2021,Bandung,Margamukti,1885098000,1885098000
2020,Bogor,Sukamulih,1883018000,1883018000
2021,Bekasi,Kertarahayu,1881536000,1881536000
2019,Cianjur,Batulawang,1881200000,1881200000
2019,Bogor,Lemah Duhur,1880060982,1880060982
2019,Bekasi,Sukaraya,1880000000,1880000000
2021,Bandung Barat,Batulayang,1879831000,1879831000
2019,Bandung,Tenjolaya,1879065000,1879065000
2019,Bogor,Sadengkolot,1878850507,1878850507
2021,Majalengka,Cimangguhilir,1878788000,1878788000
2020,Bogor,Barengkok,1878442000,1878442000
2018,Subang,Sukamandijaya,1877340300,1877340300
2020,Majalengka,Cimangguhilir,1876638000,1876638000
2020,Bandung Barat,Mekarjaya,1873592000,1873592000
2020,Cianjur,Wanasari,1872036000,1872036000
2021,Bogor,Sukajaya,1871893000,1871893000
2021,Karawang,Kutanegara,1871538000,1871538000
2020,Indramayu,Kertanegara,1870533000,1870533000
2021,Indramayu,Mekarjati,1869823000,1869823000
2020,Bandung Barat,Cihampelas,1869123000,1869123000
2020,Cianjur,Cidamar,1868433000,1868433000
2020,Bogor,Cipayung,1867843000,1867762440
2019,Karawang,Segarjaya,1866782000,1866782000
2020,Bekasi,Srimukti,1866637000,1866637000
2021,Bogor,Cintamanik,1865801000,1865801000
2019,Bandung,Pulosari,1865677000,1865677000
2019,Cianjur,Sukanagalih,1862300000,1862300000
2020,Bandung Barat,Jayamekar,1861655000,1861655000
2020,Bandung Barat,Pangauban,1861569000,1861568850
2019,Bandung Barat,Sukaresmi,1861500000,1861500000
2020,Bogor,Batok,1860740000,1860740000
2021,Indramayu,Segeran,1859949000,1859949000
2020,Karawang,Kampungsawah,1858185000,1858185000
2018,Bandung,Sugihmukti,1857987000,1857987000
2020,Bandung Barat,Bojongsalam,1857474000,1857474000
2021,Bandung Barat,Rajamandala Kulon,1856941000,1856941000
2019,Bandung,Sukamanah,1855093000,1855093000
2021,Bandung Barat,Sukaresmi,1853575000,1853575000
2020,Indramayu,Eretan Wetan,1850871000,1850871000
2021,Bandung Barat,Bojongsalam,1850464000,1850464000
2019,Bandung Barat,Sirnajaya,1850358000,1850358000
2021,Tasikmalaya,Sukasenang,1850058000,1850058000
2019,Bekasi,Lenggahsari,1850000000,1850000000
2019,Bandung Barat,Rancapanggung,1849032000,1849032000
2021,Bandung Barat,Suntenjaya,1847409000,1847409000
2021,Indramayu,Arjasari,1846571000,1846571000
2020,Bogor,Sukaraksa,1846269000,1846269000
2018,Bekasi,Pantai Harapanjaya,1845100000,1845100000
2020,Bogor,Sukajaya,1845072000,1845072000
2021,Bandung Barat,Padalarang,1843945000,1843945000
2021,Bandung Barat,Mukapayung,1842839000,1842839000
2020,Bekasi,Banjarsari,1842540000,1842540000
2021,Bandung Barat,Girimukti,1841786000,1841786000
2021,Bandung Barat,Mekarjaya,1841284000,1841284000
2020,Indramayu,Kapringan,1839843000,1839843000
2019,Karawang,Medangasem,1838989000,1838989000
2020,Bandung Barat,Cilangari,1838510000,1838510000
2021,Karawang,Segarjaya,1836625000,1836625000
2021,Bandung,Tarumajaya,1835145000,1835145000
2021,Bogor,Purasari,1834648000,1834648000
2021,Indramayu,Krangkeng,1834546000,1834546000
2021,Banjar,Waringinsari,1831281000,1831281000
2020,Bandung Barat,Ciptaharja,1831180000,1831180000
2021,Bekasi,Sriamur,1831004000,1831004000
2019,Banjar,Rejasari,1830633000,1830633000
2020,Bandung,Tarumajaya,1828218000,1828218000
2019,Indramayu,Dadap,1827711000,1827711000
2020,Bandung,Srirahayu,1824520000,1824520000
2020,Bandung Barat,Mukapayung,1822130000,1822130000
2019,Bogor,Cileuksa,1821773551,1821773551
2021,Bogor,Batok,1820130000,1820130000
2020,Garut,Linggamanik,1818268000,1818268000
2020,Majalengka,Rawa,1817577000,1817577000
2020,Bekasi,Karangpatri,1817090000,1817090000
2021,Bogor,Pancawati,1816212000,1816212000
2020,Cianjur,Padaluyu,1815312000,1815312000
2021,Indramayu,Baleraja,1814211000,1814211000
2020,Bandung Barat,Sukamanah,1814131000,1814131000
2021,Karawang,Telukbuyung,1812948000,1812948000
2020,Indramayu,Wanakaya,1812757000,1812757000
2021,Tasikmalaya,Campakasari,1812656000,1812656000
2020,Cirebon,AstanaMukti,1099005000,1099005000
2020,Bandung Barat,Sirnagalih,1812205000,1812205000
2021,Bekasi,Karangreja,1812041000,1812041000
2018,Bogor,Banyuwangi,1811100266,1811100265
2021,Bekasi,Bantarsari,1810048000,1809984450
2020,Bandung Barat,Tamanjaya,1809895000,1809895000
2019,Indramayu,Gantar,1809310000,1809310000
2020,Bandung,Sindangsari,1809262000,1809262000
2020,Cianjur,Cihea,1809258000,1809258000
2019,Bogor,Purasari,1808109973,1808109973
2020,Bandung Barat,Batulayang,1807977000,1807977000
2020,Bandung Barat,Cangkorah,1807822000,1807822000
2019,Bogor,Barengkok,1807502554,1807502554
2020,Karawang,Telukbuyung,1807206000,1807206000
2019,Garut,Linggamanik,1805000000,1805000000
2021,Majalengka,Sinargalih,1803765000,1803765000
2021,Bandung Barat,Kertamukti,1802621000,1802621000
2020,Bandung Barat,Rajamandala Kulon,1801782000,1801782000
2021,Banjar,Kujangsari,1801246000,1801246000
2020,Bandung,Lamajang,1799641000,1799641000
2019,Bandung Barat,Mekarjaya,1799206000,1799206000
2021,Cirebon,AstanaMukti,953299000,953299000
2019,Bandung Barat,Cihampelas,1795084000,1795084000
2021,Karawang,Batujaya,1794341000,1794341000
2019,Bogor,Jugalajaya,1792694525,1792694525
2021,Cianjur,Sukamekar,1792446000,1792446000
2021,Bandung Barat,Saguling,1789466000,1789466000
2018,Indramayu,Mekarjaya,1789055000,1789055000
2019,Bandung Barat,Jayamekar,1788195000,1788195000
2019,Bandung Barat,Pangauban,1788116000,1788116000
2020,Bandung Barat,Sumurbandung,1788094000,1788094000
2019,Bandung,Margamukti,1787722000,1787722000
2021,Indramayu,Sukaslamet,1787273000,1787273000
2021,Cirebon,Palimanan Barat,1787093000,1787093000
2020,Indramayu,Sumbermulya,1786606000,1786606000
2021,Banjar,Langensari,1786004000,1786004000
2019,Bandung Barat,Bojongsalam,1784339000,1784339000
2020,Bandung Barat,Margalaksana,1784239000,1784239000
2019,Karawang,Kutanegara,1783385000,1783385000
2019,Bandung Barat,Cangkorah,1782292000,1782292000
2019,Bogor,Sukamulih,1781786666,1781786666
2019,Indramayu,Pabeanudik,1780284000,1780284000
2019,Bekasi,Sriamur,1780000000,1780000000
2019,Banjar,Karyamukti,1776691000,1776691000
2018,Bekasi,Bantarjaya,1776260000,1776260000
2021,Bandung Barat,Cangkorah,1776103000,1776103000
2020,Karawang,Sedari,1775282000,1775282000
2021,Bogor,Tangkil,1775145000,1775145000
2020,Indramayu,Sukaslamet,1774946000,1774946000
2021,Bekasi,Sirnajaya,1774375000,1774375000
2020,Bandung Barat,Nanggeleng,1773442000,1773442000
2019,Bogor,Sukajaya,1772830237,1772830237
2021,Bandung Barat,Mekarsari,1772646000,1772646000
2021,Cianjur,Sukasirna,1772503000,1772503000
2020,Indramayu,Karangtumaritis,1770245000,1770245000
2019,Karawang,Kampungsawah,1769915000,1769915000
2019,Tasikmalaya,Sukasenang,1769404000,1769404000
2021,Karawang,Sedari,1768125000,1768125000
2020,Bekasi,Sukajadi,1768052000,1768052000
2019,Bogor,Sukaharja,1767813416,1767813416
2020,Indramayu,Krangkeng,1767216000,1767216000
2019,Bandung Barat,Cilangari,1766846000,1766846000
2021,Indramayu,Rambatan Kulon,1766321000,1766321000
2020,Bogor,Bojong Koneng,1765872000,1765872000
2019,Tasikmalaya,Campakasari,1765259000,1765259000
2021,Bandung Barat,Langensari,1764970000,1764970000
2020,Indramayu,Baleraja,1764715000,1764715000
2021,Bekasi,Sukakerta,1761969000,1761969000
2020,Majalengka,Nunuk Baru,1761691000,1761691000
2020,Bandung Barat,Padalarang,1761566000,1761566000
2019,Indramayu,Sumbermulya,1761539000,1761539000
2020,Bandung Barat,Kertamukti,1760635000,1760635000
2020,Majalengka,Banyusari,1760387000,1760387000
2019,Bandung Barat,Ciptaharja,1760086000,1760086000
2021,Indramayu,Drunten Wetan,1759449000,1759449000
2021,Bogor,Cibalung,1759268000,1759268000
2019,Cirebon,AstanaMukti,942162000,942162000
2020,Majalengka,Burujul Wetan,1758127000,1758127000
2019,Bogor,Cintamanik,1757924853,1757924853
2021,Cianjur,Karyabakti,1755634000,1755634000
2021,Bogor,Sukamakmur,1755164000,1755164000
2020,Bogor,Cibunian,1754729000,1754689499
2021,Bandung,Sukamanah,1754502000,1754502000
2021,Bandung Barat,Cipada,1754421000,1754421000
2019,Cianjur,Wanasari,1753500000,1753500000
2021,Bandung Barat,Nanggeleng,1753201000,1753201000
2019,Bogor,Tangkil,1752520658,1752520658
2019,Bandung Barat,Mukapayung,1751737000,1751737000
2021,Cirebon,Sampiran,1751522000,1751522000
2020,Indramayu,Situraja,1750805000,1750805000
2019,Bogor,Sukaraksa,1750205588,1750205588
2021,Indramayu,Eretan Wetan,1749207000,1749207000
2018,Bandung Barat,Citatah,1748341900,1748341900
2019,Indramayu,Kertanegara,1748155000,1748155000
2020,Bandung,Mandalahaji,1746817000,1746817000
2020,Indramayu,Drunten Wetan,1746633000,1746633000
2021,Bandung Barat,Cintaasih,1744548000,1744548000
2020,Sukabumi,Sirnaresmi,1744497000,1744497000
2019,Bandung Barat,Sukamanah,1744360000,1744360000
2021,Bandung Barat,Cikidang,1742949000,1742949000
2019,Bandung Barat,Sirnagalih,1742583000,1742583000
2020,Bandung Barat,Mekarjaya,1741925000,1741925000
2021,Bekasi,Sumberjaya,1741131000,1741131000
2020,Indramayu,Sukahaji,1740951000,1740951000
2021,Majalengka,Rawa,1740885000,1740885000
2019,Bekasi,Bantarsari,1740000000,1740000000
2021,Bandung,Srirahayu,1739913000,1739913000
2019,Bandung,Wanasuka,1739340000,1739340000
2019,Indramayu,Ujungaris,1739062000,1739062000
2019,Bandung Barat,Batulayang,1738683000,1738683000
2021,Bandung Barat,Bojong,1738292000,1738292000
2019,Indramayu,Krangkeng,1735580000,1735580000
2020,Indramayu,Srengseng,1735012000,1735012000
2021,Bandung Barat,Pataruman,1734941000,1734941000
2021,Bekasi,Srimukti,1734305000,1734305000
2020,Bandung Barat,Cipatat,1734012000,1734012000
2020,Bandung Barat,Margaluyu,1733938000,1733938000
2018,Bandung Barat,Situwangi,1733868000,1733868000
2019,Bandung Barat,Rajamandala Kulon,1732969000,1732969000
2019,Bandung Barat,Cilame,1732907000,1732907000
2021,Bekasi,Sukabudi,1732815000,1732815000
2021,Bandung Barat,Cempakamekar,1732798000,1732798000
2019,Karawang,Telukbuyung,1732381000,1732381000
2019,Majalengka,Cimangguhilir,1732294000,1732294000
2019,Karawang,Kemiri,1732155000,1732155000
2021,Bandung Barat,Mekarmukti,1732107000,1732107000
2019,Cianjur,Karyabakti,1730200000,1730200000
2020,Indramayu,Plosokerep,1729520000,1729520000
2020,Bandung,Nagrak,1728356000,1728356000
2021,Bekasi,Kertajaya,1727038000,1727038000
2021,Indramayu,Wanakaya,1726002000,1726002000
2019,Bogor,Cipicung,1725746660,1725746660
2020,Bandung,Cibeureum,1725730000,1725730000
2020,Majalengka,Werasari,1725703000,1725703000
2021,Bandung Barat,Mekarjaya,1725073000,1725073000
2021,Bandung,Cibeureum,1724787000,1724787000
2021,Bandung Barat,Mandalasari,1724569000,1724569000
2020,Bekasi,Kertajaya,1724301000,1724301000
2020,Bekasi,Kedungpengawas,1724227000,1724227000
2021,Bekasi,Karangsatria,1724145000,1724145000
2020,Majalengka,Lebakwangi,1724088000,1724088000
2021,Bandung Barat,Cilame,1723113000,1723113000
2020,Bekasi,Sukamulya,1722887000,1722887000
2020,Bandung Barat,Karyamukti,1722410000,1722410000
2020,Indramayu,Parean Girang,1720717000,1720717000
2021,Karawang,Amansari,1720661000,1720661000
2019,Bandung Barat,Sumurbandung,1720343000,1720343000
2021,Bekasi,Banjarsari,1720047000,1720047000
2021,Indramayu,Karangtumaritis,1719620000,1719620000
2020,Karawang,Segarjaya,1719352000,1719352000
2021,Bandung Barat,Pagerwangi,1718847000,1718847000
2020,Bandung Barat,Saguling,1717184000,1717184000
2021,Indramayu,Kapringan,1716981000,1716981000
2020,Majalengka,Malausma,1716788000,1716788000
2019,Cianjur,Cidamar,1716700000,1716700000
2021,Bekasi,Segarajaya,1716304000,1716304000
2019,Majalengka,Ranjiwetan,1714474000,1714474000
2021,Bandung Barat,Mandalamukti,1713501000,1713501000
2020,Cianjur,Karyabakti,1712649000,1712649000
2019,Karawang,Sedari,1712526000,1712526000
2021,Bogor,Purwabakti,1712403000,1712403000
2021,Majalengka,Banyusari,1711542000,1711542000
2019,Bogor,Cipayung,1711357796,1711357796
2021,Bogor,Banyuresmi,1711325000,1711325000
2021,Bogor,Cipayung,1711245000,1711245000
2018,Cirebon,AstanaMukti,871777000,871777000
2020,Karawang,Kemiri,1710791000,1710791000
2020,Bekasi,Srijaya,1710500000,1710500000
2019,Karawang,Mulyasejati,1709817000,1709817000
2020,Cirebon,Palimanan Barat,1709612000,1709612000
2021,Karawang,Mulyasejati,1708878000,1708878000
2020,Cianjur,Kebonpeuteuy,1707993000,1707993000
2019,Bogor,Pancawati,1707286296,1707286296
2019,Bandung Barat,Nanggeleng,1706828000,1706828000
2020,Bogor,Leuwikaret,1705088000,1705088000
2021,Banjar,Balokang,1704633000,1704633000
2020,Bandung Barat,Ganjarsari,1704535000,1704535000
2021,Bandung Barat,Citalem,1704312000,1704312000
2021,Bekasi,Kedungpengawas,1703994000,1703994000
2021,Bandung Barat,Wangunsari,1703945000,1703945000
2019,Karawang,Cemarajaya,1703644000,1703644000
2019,Bandung Barat,Karyamukti,1703509000,1703509000
2021,Majalengka,Burujul Wetan,1703275000,1703275000
2020,Bandung Barat,Pataruman,1702099000,1702099000
2020,Bogor,Lemah Duhur,1702071000,1702070768
2021,Indramayu,BabakanJaya,1238944000,1238944000
2021,Indramayu,Karanganyar,1701205000,1701205000
2020,Indramayu,BabakanJaya,1207052000,1207052000
2021,Garut,Linggamanik,1700062000,1700062000
2020,Majalengka,Cimuncang,1700048000,1700048000
2021,Bekasi,Sukajadi,1698787000,1698787000
2019,Bandung Barat,Cintaasih,1698739000,1698739000
2020,Bekasi,Sumberjaya,1698212000,1698212000
2021,Bogor,Leuwikaret,1697856000,1697856000
2021,Indramayu,Panyindangan Kulon,1696658000,1696658000
2021,Bogor,Tapos,1696599000,1696599000
2019,Bandung Barat,Padalarang,1695874000,1695874000
2021,Karawang,Jayakerta,1695592000,1695592000
2021,Bekasi,Pusakarakyat,1695448000,1695448000
2019,Bandung Barat,Kertamukti,1695015000,1695015000
2019,Bogor,Batok,1694745976,1694745976
2020,Bekasi,Sukakerta,1693939000,1693939000
2020,Bekasi,Sukahurip,1692310000,1692310000
2020,Bogor,Wargajaya,1690510000,1690509911
2018,Bekasi,Karangjaya,1690360000,1690360000
2019,Indramayu,Eretan Wetan,1690238000,1690238000
2019,Bekasi,Karangpatri,1690000000,1690000000
2020,Bandung Barat,Cipada,1689785000,1689785000
2021,Bandung Barat,Sukamanah,1689689000,1689689000
2020,Bandung Barat,Cinengah,1688211000,1688211000
2019,Karawang,Tambaksumur,1687905000,1687905000
2018,Bogor,Malasari,1687548627,1687548627
2019,Tasikmalaya,Linggaraja,1687529000,1687529000
2021,Banjar,Mulyasari,1687256000,1687256000
2021,Bandung,Mandalahaji,1686955000,1686955000
2020,Indramayu,Karanganyar,1686382000,1686382000
2020,Bogor,Pangkal Jaya,1686018000,1686015148
2021,Bogor,Cipicung,1685692000,1685692000
2019,Majalengka,Nunuk Baru,1685646000,1685646000
2021,Bekasi,Bunibakti,1685187000,1685187000
2019,Tasikmalaya,Mulyasari,1684605000,1684605000
2021,Majalengka,Lebakwangi,1684598000,1684598000
2020,Bogor,Banyuasih,1683590000,1683590000
2019,Bandung Barat,Baranangsiang,1682327000,1682327000
2021,Tasikmalaya,Tanjungsari,1681795000,1681795000
2019,Bandung Barat,Cisomang Barat,1681432000,1681432000
2020,Bogor,Leuwisadeng,1681222000,1681222000
2020,Bogor,Rengasjajar,1680398000,1680398000
2021,Tasikmalaya,Mulyasari,1679430000,1679430000
2019,Bandung,Srirahayu,1679132000,2014958400
2021,Kuningan,Cibingbin,1679108000,1679108000
2021,Bandung Barat,Sukasari,1678805000,1678805000
2019,Indramayu,Plosokerep,1678079000,1678079000
2021,Majalengka,Cimuncang,1678002000,1678002000
2021,Bandung Barat,Bojongkoneng,1677886000,1677886000
2019,Bandung Barat,Mekarjaya,1677757000,1677757000
2021,Bandung Barat,Rancapanggung,1676773000,1676773000
2020,Bogor,Cipelang,1676355000,1676354480
2020,Bekasi,Setiamekar,1676287000,1676287000
2021,Bekasi,Cipayung,1674701000,1674701000
2019,Indramayu,Wanakaya,1674551000,1674551000
2020,Indramayu,Sumbon,1674119000,1674119000
2021,Indramayu,Sumbermulya,1673766000,1673766000
2021,Bandung Barat,Cilangari,1672813000,1672813000
2020,Bogor,Banyuresmi,1672487000,1672487000
2021,Bandung,Sindangsari,1671872000,1671872000
2020,Bogor,Puraseda,1671695000,1671694840
2019,Bogor,Kiarasari,1671566489,1671566489
2021,Bandung Barat,Sumurbandung,1670971000,1670971000
2021,Bandung Barat,Cihanjuang,1670807000,1670807000
2019,Bogor,Banyuasih,1670760144,1670760144
2019,Bandung Barat,Cipatat,1670459000,1670459000
2019,Bekasi,Srimukti,1670000000,1670000000
2020,Bandung,Maruyung,1669930000,1669930000
2021,Majalengka,Payung,1669678000,1669678000
2020,Bandung Barat,Citalem,1668030000,1668030000
2020,Bandung Barat,Mekarmukti,1667534000,1667534000
2020,Bandung Barat,Cicadas,1665446000,1665446000
2021,Indramayu,Sumbon,1664940000,1664940000
2019,Indramayu,BabakanJaya,1151264000,1151264000
2021,Cianjur,Padaluyu,1663477000,1663477000
2020,Banjar,Langensari,1663238000,1663238000
2020,Bekasi,Cipayung,1662760000,1662760000
2021,Majalengka,Nunuk Baru,1662704000,1662704000
2019,Bandung,Tarumajaya,1662510000,1995012000
2021,Cianjur,Sirnagalih,1662373000,1479898400
2019,Indramayu,Dukuhjati,1661889000,1661889000
2020,Indramayu,Dukuhjati,1661889000,1661889000
2020,Bandung Barat,Mekarsari,1661238000,1661238000
2019,Indramayu,Kapringan,1660958000,1660958000
2019,Sukabumi,Sirnaresmi,1660813000,1660813000
2019,Cirebon,Ambulu,1660794000,1660794000
2020,Majalengka,Sukadana,1660665000,1660665000
2018,Bandung Barat,Mekarwangi,1660376900,1660376900
2020,Bekasi,Segarajaya,1660164000,1660164000
2021,Bogor,Rengasjajar,1659913000,1659913000
2021,Cirebon,Tawangsari,1659511000,1659511000
2021,Bandung Barat,Sirnaraja,1659400000,1659400000
2021,Karawang,Ciparagejaya,1659023000,1659023000
2020,Bekasi,Sukamakmur,1659017000,1659017000
